RAOB/Space
    Balloon release date and time                	2017-02-03T18:44:12
    Station name                                 	SFSC RB31-101
    Sonde type                                   	RS41-SGP
    System trademark and model                   	MW41
    Software version                             	MW41 2.5.0
    Sonde software version                       	2.2.13
    Sounding status                              	Ok

Elapsed time      P  Pc     Pm  RH  Temp GpsHeightMSL HeightMSL Dir Speed Ecomp Ncomp    Lat     Lon
           s    hPa hPa    hPa   %    °C            m         m   °   m/s   m/s   m/s      °       °
           0 1021.9 /// 1021.9  35   3.3            4         4 350   3.5   0.6  -3.4 37.844 -75.479
           1 1021.3 /// 1021.3  41   2.1            8         9 340   2.2   0.8  -2.1 37.844 -75.479
           2 1020.6 /// 1020.6  41   2.0           14        14 332   1.8   0.9  -1.6 37.844 -75.479
           3 1019.8 /// 1019.8  41   1.9           19        21 329   1.7   0.9  -1.5 37.844 -75.479
           4 1019.0 /// 1019.0  40   1.8           24        27 329   1.8   1.0  -1.6 37.844 -75.479
           5 1018.3 /// 1018.3  40   1.7           30        32 330   2.0   1.0  -1.7 37.844 -75.479
           6 1017.5 /// 1017.5  40   1.6           36        39 331   2.1   1.0  -1.8 37.844 -75.479
           7 1016.8 /// 1016.8  40   1.6           43        46 332   2.2   1.0  -2.0 37.844 -75.479
           8 1016.0 /// 1016.0  40   1.5           50        52 332   2.3   1.1  -2.0 37.844 -75.479
           9 1015.3 /// 1015.3  40   1.4           56        57 333   2.4   1.1  -2.1 37.844 -75.479
          10 1014.6 /// 1014.6  40   1.4           61        62 333   2.5   1.1  -2.2 37.844 -75.479
          11 1014.0 /// 1014.0  40   1.4           66        67 334   2.6   1.1  -2.3 37.844 -75.479
          12 1013.3 /// 1013.3  40   1.3           70        72 334   2.6   1.1  -2.4 37.844 -75.479
          13 1012.7 /// 1012.7  41   1.3           75        77 335   2.7   1.1  -2.4 37.844 -75.479
          14 1012.0 /// 1012.0  41   1.2           81        82 335   2.8   1.2  -2.5 37.844 -75.479
          15 1011.4 /// 1011.4  41   1.2           87        88 336   2.8   1.2  -2.6 37.844 -75.479
          16 1010.7 /// 1010.7  41   1.1           93        93 336   2.9   1.2  -2.6 37.844 -75.479
          17 1010.1 /// 1010.1  41   1.1           98        97 336   2.9   1.2  -2.7 37.844 -75.479
          18 1009.4 /// 1009.4  42   1.0          103       102 336   2.9   1.2  -2.7 37.844 -75.479
          19 1008.7 /// 1008.7  42   1.0          108       108 337   3.0   1.2  -2.7 37.844 -75.479
          20 1008.0 /// 1008.0  42   0.9          114       115 337   3.0   1.2  -2.8 37.844 -75.479
          21 1007.3 /// 1007.3  43   0.9          119       121 337   3.0   1.2  -2.8 37.844 -75.479
          22 1006.5 /// 1006.5  43   0.8          123       126 337   3.0   1.2  -2.8 37.843 -75.479
          23 1005.8 /// 1005.8  43   0.8          128       131 336   3.1   1.2  -2.8 37.843 -75.479
          24 1005.1 /// 1005.1  43   0.7          134       138 336   3.1   1.2  -2.8 37.843 -75.479
          25 1004.4 /// 1004.4  43   0.6          139       143 336   3.1   1.3  -2.8 37.843 -75.479
          26 1003.7 /// 1003.7  43   0.6          144       149 335   3.1   1.3  -2.8 37.843 -75.479
          27 1003.0 /// 1003.0  43   0.6          148       155 335   3.1   1.3  -2.8 37.843 -75.479
          28 1002.3 /// 1002.3  43   0.5          153       160 334   3.1   1.3  -2.7 37.843 -75.479
          29 1001.6 /// 1001.6  43   0.4          158       166 333   3.0   1.4  -2.7 37.843 -75.479
          30 1001.0 /// 1001.0  44   0.4          163       171 333   3.0   1.4  -2.7 37.843 -75.479
          31 1000.3 /// 1000.3  44   0.4          168       177 332   3.0   1.4  -2.6 37.843 -75.479
          32  999.7 ///  999.7  45   0.3          175       181 331   3.0   1.5  -2.6 37.843 -75.479
          33  999.0 ///  999.0  45   0.3          183       186 330   3.0   1.5  -2.6 37.843 -75.478
          34  998.4 ///  998.4  45   0.2          188       191 329   3.0   1.5  -2.5 37.843 -75.478
          35  997.8 ///  997.8  45   0.2          192       196 328   2.9   1.6  -2.5 37.843 -75.478
          36  997.1 ///  997.1  44   0.1          196       201 327   2.9   1.6  -2.4 37.843 -75.478
          37  996.5 ///  996.5  44   0.0          200       206 326   2.9   1.6  -2.4 37.843 -75.478
          38  995.9 ///  995.9  45   0.0          204       211 325   2.9   1.6  -2.3 37.843 -75.478
