RAOB/Space
    Balloon release date and time                	2017-02-03T18:44:12
    Station name                                 	UMBC
    Sonde type                                   	RS41-SGP
    System trademark and model                   	MW41
    Software version                             	MW41 2.2.0
    Sonde software version                       	2.2.13
    Sounding status                              	Ok

     P  Temp  Dewp  RH Dir Speed HeightMSL    Lat     Lon Elapsed time
   hPa    °C    °C   %   °   m/s         m      °       °          min
1021.9   3.3 -10.7  35 350   3.5         4 37.844 -75.479         0.00
1020.6   2.0 -10.0  41 335   2.0        14 37.844 -75.479         0.02
1019.8   1.9 -10.1  41 330   1.8        21 37.844 -75.479         0.04
1019.0   1.8 -10.3  40 329   1.9        27 37.844 -75.479         0.05
1018.3   1.7 -10.4  40 330   2.0        32 37.844 -75.479         0.07
1017.5   1.6 -10.5  40 331   2.1        39 37.844 -75.479         0.09
1016.8   1.6 -10.5  40 332   2.2        46 37.844 -75.479         0.10
1016.0   1.5 -10.6  40 332   2.3        52 37.844 -75.479         0.12
1015.3   1.4 -10.7  40 333   2.4        57 37.844 -75.479         0.14
1014.6   1.4 -10.7  40 333   2.5        62 37.844 -75.479         0.15
1014.0   1.4 -10.7  40 334   2.6        67 37.844 -75.479         0.17
1013.3   1.3 -10.7  40 334   2.6        72 37.844 -75.479         0.19
1012.7   1.3 -10.7  41 335   2.7        77 37.844 -75.479         0.20
1012.0   1.2 -10.7  41 335   2.8        82 37.844 -75.479         0.22
1011.4   1.2 -10.6  41 336   2.8        88 37.844 -75.479         0.24
1010.7   1.1 -10.6  41 336   2.9        93 37.844 -75.479         0.25
1010.1   1.1 -10.6  41 336   2.9        97 37.844 -75.479         0.27
1009.4   1.0 -10.6  42 336   2.9       102 37.844 -75.479         0.29
1008.7   1.0 -10.5  42 337   3.0       108 37.844 -75.479         0.30
1008.0   0.9 -10.5  42 337   3.0       115 37.844 -75.479         0.32
1007.3   0.9 -10.4  43 337   3.0       121 37.844 -75.479         0.34
1006.5   0.8 -10.4  43 337   3.0       126 37.844 -75.479         0.35
