RAOB/Space
    Balloon release date and time                	2017-02-07T14:19:19
    Station name                                 	WALL
    Sonde type                                   	RS41-SGP
    System trademark and model                   	
    Software version                             	MW41 2.4.0
    Sonde software version                       	2.2.11
    Sounding status                              	Ok

     P  Temp  Dewp RH Dir Speed HeightMSL    Lat     Lon Elapsed time
   hPa    °C    °C  %   °   m/s         m      °       °          min
1005.9   4.7  -4.8 50 193   1.1        88 38.974 -77.484         0.00
1005.5   4.6  -4.4 52 210   1.4        92 38.973 -77.487         0.01
1005.1   4.8  -4.6 51 215   1.8        95 38.973 -77.488         0.03
1004.5   4.8  -4.6 50 217   2.0       100 38.973 -77.488         0.04
1003.7   4.8  -4.8 50 217   2.2       106 38.973 -77.488         0.06
1002.9   4.8  -4.9 49 217   2.4       113 38.973 -77.488         0.08
1002.4   4.8  -5.0 49 217   2.5       117 38.973 -77.488         0.09
1001.8   4.7  -5.1 49 217   2.7       123 38.973 -77.488         0.11
1001.2   4.7  -5.2 49 217   2.9       128 38.973 -77.488         0.13
1000.6   4.6  -5.2 49 217   3.1       131 38.973 -77.488         0.14
1000.0   4.6  -5.3 49 218   3.2       136 38.973 -77.488         0.16
 999.4   4.6  -5.4 48 218   3.4       141 38.973 -77.488         0.18
 998.8   4.6  -5.5 48 218   3.6       146 38.973 -77.488         0.19
 998.2   4.6  -5.6 47 219   3.7       152 38.973 -77.488         0.21
 997.7   4.6  -5.7 47 220   3.9       157 38.974 -77.488         0.23
 997.1   4.5  -5.7 47 220   4.0       161 38.974 -77.488         0.24
 996.6   4.5  -5.7 48 221   4.1       165 38.974 -77.488         0.26
 996.0   4.4  -5.6 48 222   4.2       170 38.974 -77.488         0.28
 995.5   4.4  -5.7 48 223   4.4       173 38.974 -77.488         0.29
 995.0   4.4  -5.8 48 223   4.4       177 38.974 -77.487         0.31
 994.4   4.4  -5.8 47 224   4.5       182 38.974 -77.487         0.33
 993.9   4.4  -5.9 47 226   4.6       186 38.974 -77.487         0.34
 993.4   4.4  -5.9 47 227   4.7       191 38.974 -77.487         0.36
 992.8   4.4  -6.0 47 228   4.7       194 38.974 -77.487         0.38
 992.3   4.3  -6.1 47 229   4.8       199 38.974 -77.487         0.39
 991.7   4.3  -6.1 47 231   4.8       204 38.974 -77.487         0.41
 991.2   4.3  -6.2 46 232   4.8       209 38.974 -77.487         0.43
 990.6   4.4  -6.3 46 233   4.9       214 38.974 -77.487         0.44
 990.1   4.4  -6.4 45 235   4.9       219 38.974 -77.487         0.46
 989.5   4.4  -6.4 45 236   4.9       222 38.974 -77.487         0.48
 989.0   4.4  -6.6 45 238   4.9       228 38.974 -77.487         0.49
 988.4   4.5  -6.9 43 240   4.9       231 38.974 -77.487         0.51
 987.9   4.7  -7.3 42 241   4.9       236 38.974 -77.487         0.53
 987.4   5.2  -7.5 39 243   4.9       240 38.974 -77.487         0.54
 986.9   5.6  -7.7 38 245   4.9       244 38.974 -77.487         0.56
 986.3   5.8  -7.8 37 247   5.0       248 38.974 -77.487         0.58
 985.8   5.9  -7.8 37 249   5.0       252 38.974 -77.487         0.59
 985.2   5.9  -7.8 37 250   5.0       258 38.974 -77.487         0.61
 984.7   6.0  -7.8 37 252   5.0       262 38.974 -77.487         0.63
 984.1   6.0  -7.8 36 254   5.0       267 38.974 -77.486         0.64
 983.6   6.1  -7.8 36 256   5.0       272 38.974 -77.486         0.66
 983.0   6.2  -7.9 36 257   5.1       276 38.974 -77.486         0.68
 982.5   6.3  -8.0 35 259   5.1       281 38.974 -77.486         0.69
 982.0   6.4  -8.2 34 261   5.2       285 38.974 -77.486         0.71
 981.4   6.7  -8.3 33 262   5.2       290 38.974 -77.486         0.73
 980.9   7.0  -8.5 32 264   5.3       294 38.974 -77.486         0.74
 980.4   7.4  -8.5 31 265   5.4       297 38.974 -77.486         0.76
 979.9   7.7  -8.6 30 266   5.4       303 38.974 -77.486         0.78
 979.3   7.9  -8.6 30 267   5.5       307 38.974 -77.486         0.79
 978.8   7.9  -8.6 30 268   5.6       312 38.974 -77.486         0.81
 978.3   7.9  -8.6 30 269   5.8       316 38.974 -77.486         0.83
 977.8   7.9  -8.7 30 270   5.9       321 38.974 -77.486         0.84
 977.3   8.1  -8.7 29 270   6.0       324 38.974 -77.486         0.86
 976.7   8.3  -8.6 29 271   6.2       328 38.974 -77.486         0.88
 976.2   8.5  -8.5 29 271   6.3       333 38.974 -77.486         0.89
 975.7   8.7  -8.3 29 271   6.5       338 38.974 -77.486         0.91
 975.2   8.9  -8.2 29 272   6.6       341 38.974 -77.485         0.93
 974.6   9.0  -8.3 29 272   6.8       347 38.974 -77.485         0.94
 974.1   9.0  -8.4 28 272   7.0       351 38.974 -77.485         0.96
 973.6   9.0  -8.4 28 272   7.2       356 38.974 -77.485         0.98
 973.0   9.1  -8.5 28 271   7.3       360 38.974 -77.485         0.99
 972.4   9.1  -8.6 28 271   7.5       364 38.974 -77.485         1.01
 971.8   9.2  -8.6 28 271   7.7       370 38.974 -77.485         1.03
 971.2   9.2  -8.7 27 271   7.9       376 38.974 -77.485         1.04
 970.6   9.3  -8.8 27 270   8.0       382 38.974 -77.485         1.06
 969.9   9.4  -9.0 26 270   8.2       387 38.974 -77.485         1.08
 969.3   9.5  -9.3 25 270   8.4       393 38.974 -77.485         1.09
 968.7   9.9  -9.5 24 269   8.5       397 38.974 -77.484         1.11
 968.1  10.2  -9.6 24 269   8.6       403 38.974 -77.484         1.13
 967.5  10.2  -9.7 24 269   8.8       409 38.974 -77.484         1.14
 966.9  10.1  -9.6 24 269   8.9       413 38.974 -77.484         1.16
 966.3  10.1  -9.6 24 268   9.0       418 38.974 -77.484         1.18
 965.8  10.0  -9.5 24 268   9.0       423 38.974 -77.484         1.19
 965.2   9.9  -9.4 25 268   9.1       427 38.974 -77.484         1.21
 964.7   9.9  -9.4 25 267   9.1       432 38.974 -77.484         1.23
 964.2   9.8  -9.4 25 267   9.2       437 38.974 -77.484         1.24
 963.7   9.8  -9.4 25 267   9.2       441 38.974 -77.483         1.26
 963.2   9.7  -9.4 25 267   9.2       444 38.974 -77.483         1.28
 962.7   9.7  -9.5 25 266   9.1       448 38.974 -77.483         1.29
