Time	Press	Temp	RH	Alt	Dewp	Dir
328	-3.5	2.2	-6.0	-75.47924	37.84414	10.5
327	-3.5	2.1	-6.6	-75.47922	37.84411	16.3
326	-3.9	1.2	-5.9	-75.47920	37.84407	21.9
326	-4.8	0.5	-6.1	-75.47918	37.84403	27.3
325	-4.7	0.5	-6.5	-75.47917	37.84398	32.4
325	-4.1	1.1	-7.1	-75.47916	37.84395	39.1
326	-3.1	1.7	-6.8	-75.47914	37.84392	45.4
326	-2.6	3.0	-5.7	-75.47911	37.84389	50.8
327	-1.7	3.5	-4.3	-75.47907	37.84388	55.5
328	-0.1	3.9	-4.3	-75.47902	37.84387	59.4
330	0.9	3.4	-5.1	-75.47898	37.84388	64.7
335	-1.4	1.1	-3.0	-75.47894	37.84389	69.8
336	-1.0	-0.1	-5.7	-75.47895	37.84388	75.8
338	-2.9	-1.5	-5.6	-75.47896	37.84386	81.5
339	-3.7	-1.4	-5.5	-75.47898	37.84383	87.5
340	-4.1	0.8	-5.4	-75.47899	37.84378	92.8
342	-3.9	2.7	-5.2	-75.47896	37.84374	97.3
343	-3.2	3.2	-5.9	-75.47892	37.84371	102.9
344	-2.1	2.2	-6.3	-75.47889	37.84369	108.9
345	-2.1	0.3	-6.0	-75.47887	37.84367	115.7
346	-2.2	-1.4	-5.3	-75.47887	37.84365	120.8
346	-2.7	-2.2	-5.9	-75.47890	37.84364	126.9
346	-4.0	-1.8	-6.5	-75.47893	37.84361	133.3
345	-5.1	-0.8	-6.3	-75.47895	37.84357	140.1
344	-5.7	0.5	-5.3	-75.47895	37.84351	146.5
343	-5.9	1.7	-5.2	-75.47894	37.84346	151.1
341	-5.2	3.1	-6.3	-75.47890	37.84340	156.9
339	-3.6	3.1	-5.8	-75.47887	37.84336	162.0
337	-2.4	3.0	-5.4	-75.47883	37.84334	167.2
334	-1.4	2.8	-5.6	-75.47880	37.84332	173.3
332	-0.5	2.2	-5.4	-75.47877	37.84332	178.4
329	0.1	1.4	-5.2	-75.47875	37.84332	183.8
327	-0.4	1.0	-4.4	-75.47874	37.84332	187.8
324	-0.6	0.0	-5.2	-75.47874	37.84332	192.3
322	-2.0	-0.6	-5.5	-75.47875	37.84331	198.2
320	-3.3	-0.4	-5.4	-75.47877	37.84328	204.8
319	-4.7	0.8	-5.6	-75.47876	37.84324	210.3
317	-4.8	2.5	-6.3	-75.47875	37.84319	215.7
316	-4.1	3.5	-5.9	-75.47870	37.84315	221.5
315	-2.3	4.1	-4.9	-75.47866	37.84312	226.7
314	-0.5	4.1	-4.9	-75.47860	37.84311	230.4
314	0.9	3.7	-5.8	-75.47855	37.84312	234.9
315	1.1	2.8	-6.1	-75.47851	37.84314	240.7
316	0.2	2.0	-5.7	-75.47849	37.84314	246.2
317	-0.9	1.5	-6.0	-75.47847	37.84314	251.9
319	-1.5	1.0	-6.0	-75.47846	37.84312	257.7
321	-2.3	0.1	-5.8	-75.47845	37.84311	263.0
322	-3.4	-0.7	-5.0	-75.47846	37.84309	267.7
324	-5.3	-0.5	-5.2	-75.47846	37.84304	272.2
325	-5.6	1.2	-5.8	-75.47846	37.84298	277.2
327	-4.8	2.8	-5.6	-75.47843	37.84294	282.8
329	-3.2	3.5	-5.6	-75.47839	37.84290	288.1
331	-1.3	3.7	-6.4	-75.47835	37.84288	294.0
334	0.2	2.8	-5.6	-75.47831	37.84288	299.3
337	0.6	1.4	-4.9	-75.47830	37.84289	305.4
339	0.9	0.1	-5.6	-75.47829	37.84290	311.4
342	-0.1	-0.3	-5.9	-75.47830	37.84290	317.2
344	-1.9	-0.8	-5.7	-75.47832	37.84290	323.6
347	-3.1	-2.0	-5.6	-75.47834	37.84288	330.2
348	-3.1	-2.4	-5.6	-75.47837	37.84285	336.6
349	-3.6	-0.7	-5.2	-75.47839	37.84281	341.9
349	-5.0	1.5	-5.8	-75.47838	37.84277	346.9
348	-5.0	2.9	-6.1	-75.47835	37.84272	352.4
347	-4.0	3.7	-5.0	-75.47831	37.84268	357.0
346	-2.1	2.9	-5.1	-75.47826	37.84265	361.9
344	-1.3	1.3	-5.5	-75.47823	37.84264	366.9
343	-1.4	0.0	-5.9	-75.47823	37.84263	372.4
341	-2.1	-0.8	-6.1	-75.47823	37.84262	377.8
339	-3.1	-1.4	-5.1	-75.47825	37.84259	382.6
338	-3.7	-1.7	-4.8	-75.47827	37.84255	387.2
337	-4.1	-0.9	-5.4	-75.47828	37.84251	392.3
335	-5.0	0.9	-6.0	-75.47828	37.84247	397.6
334	-5.6	2.4	-5.1	-75.47825	37.84242	402.5
332	-5.9	3.8	-5.1	-75.47822	37.84236	407.8
331	-5.3	4.3	-5.2	-75.47817	37.84232	413.9
330	-5.0	4.1	-5.3	-75.47812	37.84227	419.5
330	-5.4	4.4	-5.7	-75.47807	37.84222	425.0
330	-5.7	4.6	-5.4	-75.47801	37.84217	430.0
330	-5.6	5.3	-5.7	-75.47794	37.84212	435.8
330	-5.2	5.5	-6.5	-75.47788	37.84207	442.0
330	-5.0	5.3	-7.2	-75.47781	37.84203	449.2
331	-5.1	4.7	-7.9	-75.47776	37.84198	456.7
331	-5.4	3.2	-7.6	-75.47772	37.84193	464.2
332	-5.8	2.1	-6.3	-75.47769	37.84188	470.6
333	-6.2	1.1	-5.9	-75.47768	37.84183	476.7
333	-7.1	1.4	-6.5	-75.47767	37.84176	482.7
333	-7.9	2.3	-6.5	-75.47765	37.84170	490.0
333	-8.3	3.3	-5.2	-75.47762	37.84163	494.9
333	-5.0	2.4	-5.9	-75.47758	37.84155	500.1
333	-8.2	5.7	-5.4	-75.47751	37.84147	504.9
332	-7.9	5.5	-5.3	-75.47744	37.84139	509.9
332	-8.7	5.3	-4.9	-75.47739	37.84132	514.8
331	-9.7	4.5	-5.2	-75.47733	37.84124	519.8
330	-10.3	2.5	-5.3	-75.47730	37.84115	525.2
329	-10.2	1.7	-5.2	-75.47728	37.84105	530.7
328	-9.5	2.3	-5.3	-75.47726	37.84096	535.5
326	-9.2	3.9	-6.0	-75.47722	37.84088	541.3
325	-8.5	6.0	-6.3	-75.47717	37.84080	547.4
323	-7.6	7.7	-5.6	-75.47708	37.84073	553.1
322	-6.0	7.6	-4.8	-75.47698	37.84068	558.7
320	-5.0	6.9	-4.8	-75.47690	37.84063	563.4
318	-4.7	6.2	-5.3	-75.47683	37.84059	568.5
317	-4.6	6.0	-5.4	-75.47675	37.84055	573.8
316	-4.3	6.1	-5.2	-75.47669	37.84052	579.1
314	-3.8	6.2	-5.2	-75.47661	37.84048	583.8
313	-3.7	6.8	-5.9	-75.47654	37.84045	589.3
312	-4.3	7.4	-6.8	-75.47646	37.84041	595.9
311	-5.4	7.7	-6.7	-75.47637	37.84037	603.0
310	-6.9	7.3	-6.0	-75.47629	37.84031	609.6
310	-8.3	6.6	-5.2	-75.47621	37.84024	614.7
309	-9.6	6.6	-5.7	-75.47614	37.84015	619.4
308	-9.7	6.9	-5.5	-75.47606	37.84006	624.8
308	-9.0	7.3	-5.0	-75.47599	37.83997	630.0
308	-7.4	7.7	-5.2	-75.47590	37.83990	635.6
308	-4.7	7.5	-5.5	-75.47581	37.83985	641.3
307	-2.6	7.2	-5.1	-75.47573	37.83982	646.3
307	-2.0	6.0	-4.6	-75.47566	37.83981	650.8
307	-3.0	4.7	-4.6	-75.47560	37.83979	655.5
307	-3.7	5.2	-4.7	-75.47555	37.83976	660.4
307	-3.4	5.5	-5.2	-75.47549	37.83973	665.7
306	-2.9	5.5	-5.3	-75.47542	37.83970	670.2
306	-2.5	5.3	-5.5	-75.47536	37.83968	675.9
306	-2.6	5.5	-6.2	-75.47531	37.83966	682.5
305	-3.1	6.4	-6.4	-75.47524	37.83963	688.3
305	-3.8	7.2	-6.0	-75.47516	37.83960	694.4
304	-5.0	7.6	-5.7	-75.47507	37.83956	700.5
304	-6.4	7.0	-5.3	-75.47498	37.83950	705.9
303	-7.3	5.7	-5.6	-75.47491	37.83944	711.7
303	-7.1	4.4	-5.5	-75.47486	37.83937	717.2
303	-5.8	3.4	-5.7	-75.47483	37.83931	722.9
303	-4.1	3.4	-5.5	-75.47479	37.83927	727.9
303	-2.7	4.0	-4.8	-75.47475	37.83924	733.3
304	-1.4	4.7	-5.0	-75.47471	37.83923	739.2
304	-1.0	5.7	-5.0	-75.47464	37.83922	743.9
305	-1.4	6.7	-4.7	-75.47457	37.83921	748.5
305	-2.0	7.1	-4.6	-75.47449	37.83920	752.9
305	-2.7	8.0	-5.0	-75.47440	37.83917	758.1
305	-3.9	8.4	-4.8	-75.47430	37.83914	762.7
305	-5.2	8.8	-4.7	-75.47420	37.83910	767.0
305	-6.4	8.6	-4.8	-75.47409	37.83904	771.7
306	-7.1	8.0	-5.1	-75.47400	37.83898	777.2
306	-6.8	7.3	-5.3	-75.47390	37.83891	782.5
306	-6.3	7.1	-4.5	-75.47382	37.83885	786.8
306	-6.7	6.9	-4.7	-75.47375	37.83879	791.3
306	-6.9	7.0	-5.1	-75.47367	37.83872	796.3
306	-7.1	6.6	-5.5	-75.47360	37.83865	801.6
306	-7.1	6.6	-5.2	-75.47353	37.83859	807.4
305	-7.1	6.9	-5.3	-75.47345	37.83852	812.4
305	-6.8	7.8	-5.3	-75.47336	37.83846	816.9
306	-6.3	9.1	-6.2	-75.47326	37.83840	822.5
306	-5.6	9.5	-6.3	-75.47315	37.83835	828.7
306	-4.3	8.8	-5.7	-75.47305	37.83830	834.4
306	-2.6	7.4	-4.7	-75.47295	37.83827	839.0
307	-1.0	6.5	-4.5	-75.47287	37.83826	843.1
307	-0.4	5.7	-4.7	-75.47281	37.83826	848.5
307	-1.3	5.0	-4.5	-75.47275	37.83826	853.5
307	-2.7	4.5	-4.7	-75.47271	37.83825	858.1
307	-3.7	3.6	-4.8	-75.47266	37.83822	863.8
308	-4.0	2.8	-5.2	-75.47264	37.83819	869.2
308	-4.6	2.9	-5.2	-75.47261	37.83815	874.4
308	-4.6	3.3	-4.8	-75.47258	37.83810	879.4
308	-4.4	3.7	-5.1	-75.47254	37.83806	884.2
308	-4.0	4.0	-5.7	-75.47250	37.83802	890.1
308	-3.6	3.9	-5.9	-75.47246	37.83799	896.6
307	-3.7	3.7	-5.1	-75.47242	37.83796	901.4
306	-4.2	3.2	-4.6	-75.47238	37.83792	906.0
305	-4.4	2.9	-4.4	-75.47234	37.83788	910.2
304	-4.1	3.2	-4.8	-75.47231	37.83784	914.7
302	-3.2	3.9	-5.3	-75.47227	37.83781	919.7
301	-2.4	4.3	-5.1	-75.47222	37.83778	924.8
299	-1.2	5.1	-5.2	-75.47216	37.83777	929.8
297	-1.1	6.3	-6.1	-75.47209	37.83776	935.7
296	-1.7	8.1	-5.9	-75.47201	37.83775	941.6
294	-3.2	9.2	-6.3	-75.47190	37.83773	947.7
293	-4.5	9.3	-6.1	-75.47178	37.83769	952.9
291	-4.7	8.1	-5.3	-75.47168	37.83764	958.6
290	-4.5	6.7	-5.3	-75.47159	37.83760	963.5
289	-3.5	6.8	-6.2	-75.47152	37.83756	970.1
287	-2.5	8.1	-5.7	-75.47143	37.83753	975.9
286	-2.0	9.3	-5.0	-75.47133	37.83752	981.2
285	-1.5	10.7	-5.4	-75.47121	37.83750	986.4
284	-1.5	11.1	-6.3	-75.47108	37.83749	992.6
283	-2.0	10.4	-7.0	-75.47096	37.83747	999.5
282	-2.4	10.0	-7.3	-75.47084	37.83745	1006.9
280	-2.1	9.3	-6.4	-75.47073	37.83743	1012.9
279	-1.4	7.8	-5.5	-75.47064	37.83741	1019.2
278	-0.8	6.1	-5.0	-75.47057	37.83741	1024.4
276	-1.2	4.4	-4.5	-75.47052	37.83740	1028.7
275	-1.8	4.4	-4.7	-75.47047	37.83738	1033.1
274	-1.3	5.2	-5.2	-75.47042	37.83737	1038.0
273	0.2	5.8	-5.2	-75.47036	37.83737	1042.8
272	1.7	6.6	-5.3	-75.47029	37.83738	1047.6
270	1.8	8.0	-5.0	-75.47020	37.83740	1052.8
269	1.5	9.3	-4.7	-75.47010	37.83741	1057.9
268	1.0	10.3	-5.3	-75.46999	37.83743	1062.8
267	0.3	10.6	-5.0	-75.46986	37.83743	1067.9
267	-0.0	10.6	-4.6	-75.46974	37.83744	1072.6
266	-0.1	10.7	-4.8	-75.46962	37.83744	1077.1
265	-0.1	11.0	-4.9	-75.46949	37.83743	1082.0
265	-0.2	11.2	-4.8	-75.46936	37.83743	1086.6
264	-0.0	11.2	-4.7	-75.46922	37.83743	1091.7
263	0.5	11.1	-5.1	-75.46910	37.83743	1096.5
263	0.9	10.9	-5.0	-75.46897	37.83744	1101.3
263	1.4	10.7	-4.6	-75.46885	37.83745	1105.8
263	1.7	10.1	-4.7	-75.46873	37.83746	1110.4
263	1.9	9.5	-4.3	-75.46862	37.83748	1114.9
263	2.2	8.9	-4.8	-75.46852	37.83750	1119.7
263	2.0	8.4	-5.2	-75.46843	37.83752	1125.2
264	2.0	8.5	-5.1	-75.46834	37.83755	1130.3
264	2.0	9.0	-4.7	-75.46824	37.83757	1134.9
265	2.2	9.5	-5.0	-75.46813	37.83758	1139.8
267	1.9	9.9	-4.8	-75.46802	37.83760	1144.6
268	1.6	10.0	-4.7	-75.46791	37.83761	1148.8
269	1.3	10.2	-4.4	-75.46779	37.83762	1153.1
271	0.9	10.5	-4.4	-75.46767	37.83763	1157.7
272	0.4	10.9	-4.4	-75.46755	37.83763	1162.0
274	-0.4	11.5	-4.7	-75.46741	37.83763	1166.5
275	-1.3	11.6	-4.7	-75.46728	37.83762	1171.3
276	-2.2	11.5	-4.4	-75.46715	37.83760	1175.9
278	-2.8	11.4	-4.6	-75.46701	37.83757	1180.4
279	-2.6	11.0	-4.9	-75.46688	37.83755	1185.1
280	-2.7	10.8	-4.8	-75.46676	37.83752	1189.9
280	-3.0	10.5	-4.5	-75.46664	37.83750	1194.3
281	-3.6	9.9	-4.5	-75.46652	37.83747	1198.3
281	-4.1	8.9	-4.7	-75.46642	37.83743	1203.4
280	-4.0	7.9	-4.6	-75.46633	37.83739	1207.7
