P	T	Dewp.	Hu	Wd	Ws	Alt	Lat.	Long.	Time
1012.9	3.3	-10.6	35	350	3.5	3.0	37.843883	-75.479099	0.0
1012.2	0.1	-14.0	34	350	3.5	9.0	37.843863	-75.479075	0.016666666666666666
1011.4	1.4	-13.0	33	349	3.5	15.0	37.843844	-75.479051	0.03333333333333333
1010.7	1.7	-12.6	34	349	3.5	21.0	37.843824	-75.479027	0.05
1010.0	1.6	-12.5	34	348	3.5	26.0	37.843805	-75.479003	0.06666666666666667
1009.3	1.5	-12.5	34	348	3.5	32.0	37.843785	-75.478979	0.08333333333333333
1008.5	1.5	-12.5	34	348	3.4	38.0	37.843766	-75.478955	0.1
1007.8	1.4	-12.5	34	347	3.4	44.0	37.843746	-75.478931	0.11666666666666667
1007.1	1.4	-12.5	35	347	3.4	50.0	37.843727	-75.478906	0.13333333333333333
1006.3	1.4	-12.4	35	347	3.4	56.0	37.843707	-75.478882	0.15
1005.6	1.3	-12.4	35	346	3.4	61.0	37.843688	-75.478858	0.16666666666666666
1004.9	1.2	-12.4	35	346	3.4	67.0	37.843668	-75.478834	0.18333333333333332
1004.1	1.2	-12.4	35	345	3.4	73.0	37.843649	-75.47881	0.2
1003.4	1.2	-12.4	35	345	3.4	79.0	37.843629	-75.478786	0.21666666666666667
1002.7	1.1	-12.4	35	345	3.4	84.0	37.843610	-75.478762	0.23333333333333334
1002.0	1.1	-12.4	36	344	3.4	90.0	37.843589	-75.478741	0.25
1001.3	1.0	-12.4	36	344	3.4	96.0	37.843566	-75.478726	0.26666666666666666
1000.6	1.0	-12.4	36	343	3.4	101.0	37.843543	-75.47871	0.2833333333333333
999.9	0.9	-12.4	36	343	3.3	107.0	37.843520	-75.478694	0.3
999.2	0.8	-12.4	36	343	3.3	113.0	37.843497	-75.478678	0.31666666666666665
998.5	0.8	-12.4	36	342	3.3	118.0	37.843474	-75.478662	0.3333333333333333
997.8	0.7	-12.4	36	342	3.3	124.0	37.843451	-75.478646	0.35
997.1	0.7	-12.4	37	341	3.3	129.0	37.843428	-75.478631	0.36666666666666664
996.4	0.6	-12.4	37	341	3.3	135.0	37.843405	-75.478615	0.38333333333333336
995.7	0.6	-12.4	37	341	3.3	141.0	37.843383	-75.478599	0.4
995.0	0.5	-12.4	37	340	3.3	146.0	37.843360	-75.478583	0.4166666666666667
994.3	0.5	-12.4	37	340	3.3	152.0	37.843337	-75.478567	0.43333333333333335
993.6	0.4	-12.4	37	339	3.3	158.0	37.843314	-75.478551	0.45
992.9	0.4	-12.4	37	339	3.3	163.0	37.843291	-75.478536	0.4666666666666667
992.3	0.3	-12.4	38	338	3.3	169.0	37.843268	-75.47852	0.48333333333333334
991.6	0.3	-12.4	38	338	3.3	174.0	37.843245	-75.478504	0.5
990.9	0.2	-12.4	38	338	3.3	180.0	37.843222	-75.478488	0.5166666666666667
990.2	0.2	-12.4	38	337	3.2	186.0	37.843199	-75.478472	0.5333333333333333
989.5	0.1	-12.5	38	337	3.2	191.0	37.843176	-75.478456	0.55
988.8	0.1	-12.5	38	337	3.2	197.0	37.843154	-75.478441	0.5666666666666667
988.1	0.0	-12.5	38	336	3.2	203.0	37.843131	-75.478425	0.5833333333333334
987.4	-0.1	-12.5	38	336	3.1	208.0	37.843108	-75.478409	0.6
986.7	-0.1	-12.6	38	335	3.1	214.0	37.843085	-75.478393	0.6166666666666667
