Profile Data:           	                  	     	                        	     	            	          	         	     	      	     
Time                    	P                 	T    	Hu                      	Ws   	Wd          	Long.     	Lat.     	Alt  	Geopot	Dewp.
[sec]                   	[hPa]             	[°C] 	[%]                     	[m/s]	[°]         	[°]       	[°]      	[m]  	[m]   	[°C] 
0                       	1012.9            	3.3  	35                      	3.5  	350         	-75.479099	37.843883	3    	3     	-10.6
1                       	1012.2            	0.1  	34                      	3.5  	350         	-75.479075	37.843863	9    	9     	-14.0
2                       	1011.4            	1.4  	33                      	3.5  	349         	-75.479051	37.843844	15   	15    	-13.0
3                       	1010.7            	1.7  	34                      	3.5  	349         	-75.479027	37.843824	21   	21    	-12.6
4                       	1010.0            	1.6  	34                      	3.5  	348         	-75.479003	37.843805	26   	26    	-12.5
5                       	1009.3            	1.5  	34                      	3.5  	348         	-75.478979	37.843785	32   	32    	-12.5
6                       	1008.5            	1.5  	34                      	3.4  	348         	-75.478955	37.843766	38   	38    	-12.5
7                       	1007.8            	1.4  	34                      	3.4  	347         	-75.478931	37.843746	44   	44    	-12.5
8                       	1007.1            	1.4  	35                      	3.4  	347         	-75.478906	37.843727	50   	50    	-12.5
9                       	1006.3            	1.4  	35                      	3.4  	347         	-75.478882	37.843707	56   	55    	-12.4
10                      	1005.6            	1.3  	35                      	3.4  	346         	-75.478858	37.843688	61   	61    	-12.4
11                      	1004.9            	1.2  	35                      	3.4  	346         	-75.478834	37.843668	67   	67    	-12.4
12                      	1004.1            	1.2  	35                      	3.4  	345         	-75.478810	37.843649	73   	73    	-12.4
13                      	1003.4            	1.2  	35                      	3.4  	345         	-75.478786	37.843629	79   	79    	-12.4
14                      	1002.7            	1.1  	35                      	3.4  	345         	-75.478762	37.843610	84   	84    	-12.4
15                      	1002.0            	1.1  	36                      	3.4  	344         	-75.478741	37.843589	90   	90    	-12.4
16                      	1001.3            	1.0  	36                      	3.4  	344         	-75.478726	37.843566	96   	96    	-12.4
17                      	1000.6            	1.0  	36                      	3.4  	343         	-75.478710	37.843543	101  	101   	-12.4
18                      	999.9             	0.9  	36                      	3.3  	343         	-75.478694	37.843520	107  	107   	-12.4
19                      	999.2             	0.8  	36                      	3.3  	343         	-75.478678	37.843497	113  	112   	-12.4
20                      	998.5             	0.8  	36                      	3.3  	342         	-75.478662	37.843474	118  	118   	-12.4
21                      	997.8             	0.7  	36                      	3.3  	342         	-75.478646	37.843451	124  	124   	-12.4
22                      	997.1             	0.7  	37                      	3.3  	341         	-75.478631	37.843428	129  	129   	-12.4
23                      	996.4             	0.6  	37                      	3.3  	341         	-75.478615	37.843405	135  	135   	-12.4
24                      	995.7             	0.6  	37                      	3.3  	341         	-75.478599	37.843383	141  	141   	-12.4
25                      	995.0             	0.5  	37                      	3.3  	340         	-75.478583	37.843360	146  	146   	-12.4
26                      	994.3             	0.5  	37                      	3.3  	340         	-75.478567	37.843337	152  	152   	-12.4
27                      	993.6             	0.4  	37                      	3.3  	339         	-75.478551	37.843314	158  	157   	-12.4
28                      	992.9             	0.4  	37                      	3.3  	339         	-75.478536	37.843291	163  	163   	-12.4
29                      	992.3             	0.3  	38                      	3.3  	338         	-75.478520	37.843268	169  	169   	-12.4
30                      	991.6             	0.3  	38                      	3.3  	338         	-75.478504	37.843245	174  	174   	-12.4
31                      	990.9             	0.2  	38                      	3.3  	338         	-75.478488	37.843222	180  	180   	-12.4
32                      	990.2             	0.2  	38                      	3.2  	337         	-75.478472	37.843199	186  	186   	-12.4
33                      	989.5             	0.1  	38                      	3.2  	337         	-75.478456	37.843176	191  	191   	-12.5
34                      	988.8             	0.1  	38                      	3.2  	337         	-75.478441	37.843154	197  	197   	-12.5
35                      	988.1             	0.0  	38                      	3.2  	336         	-75.478425	37.843131	203  	202   	-12.5
36                      	987.4             	-0.1 	38                      	3.1  	336         	-75.478409	37.843108	208  	208   	-12.5
37                      	986.7             	-0.1 	38                      	3.1  	335         	-75.478393	37.843085	214  	214   	-12.6
38                      	986.0             	-0.2 	38                      	3.1  	335         	-75.478377	37.843062	219  	219   	-12.6
39                      	985.3             	-0.2 	38                      	3.1  	335         	-75.478361	37.843039	225  	225   	-12.6
40                      	984.6             	-0.3 	38                      	3.1  	334         	-75.478346	37.843016	231  	230   	-12.6
41                      	983.9             	-0.3 	39                      	3.0  	334         	-75.478330	37.842993	236  	236   	-12.7
42                      	983.2             	-0.4 	39                      	3.0  	333         	-75.478314	37.842970	242  	242   	-12.7
43                      	982.6             	-0.4 	39                      	3.0  	333         	-75.478298	37.842947	247  	247   	-12.7
44                      	981.9             	-0.5 	39                      	3.0  	333         	-75.478282	37.842925	253  	253   	-12.7
45                      	981.2             	-0.5 	39                      	3.0  	332         	-75.478266	37.842902	259  	259   	-12.8
46                      	980.5             	-0.6 	39                      	2.9  	332         	-75.478250	37.842874	264  	264   	-12.8
47                      	979.8             	-0.6 	39                      	2.9  	331         	-75.478233	37.842846	270  	270   	-12.8
48                      	979.1             	-0.7 	39                      	2.9  	331         	-75.478216	37.842818	275  	275   	-12.8
49                      	978.4             	-0.7 	39                      	2.9  	330         	-75.478199	37.842791	281  	281   	-12.8
50                      	977.8             	-0.8 	39                      	2.9  	330         	-75.478182	37.842763	287  	286   	-12.8
51                      	977.1             	-0.9 	39                      	2.8  	329         	-75.478165	37.842735	292  	292   	-12.9
52                      	976.4             	-0.9 	40                      	2.8  	329         	-75.478148	37.842707	298  	297   	-12.9
53                      	975.7             	-1.0 	40                      	2.8  	329         	-75.478131	37.842679	303  	303   	-12.9
54                      	975.0             	-1.0 	40                      	2.8  	328         	-75.478114	37.842651	309  	309   	-12.9
55                      	974.4             	-1.1 	40                      	2.8  	328         	-75.478098	37.842624	314  	314   	-12.9
56                      	973.7             	-1.1 	40                      	2.7  	327         	-75.478081	37.842596	320  	320   	-12.9
57                      	973.0             	-1.2 	40                      	2.7  	327         	-75.478064	37.842568	325  	325   	-12.9
58                      	972.3             	-1.2 	40                      	2.7  	326         	-75.478047	37.842540	331  	331   	-12.9
59                      	971.7             	-1.3 	40                      	2.7  	326         	-75.478030	37.842512	337  	336   	-12.9
60                      	971.0             	-1.3 	41                      	2.7  	325         	-75.478013	37.842485	342  	342   	-13.0
61                      	970.3             	-1.4 	41                      	2.8  	325         	-75.477996	37.842457	348  	347   	-13.0
62                      	969.6             	-1.5 	41                      	2.9  	326         	-75.477979	37.842429	353  	353   	-13.0
63                      	968.9             	-1.5 	41                      	3.0  	326         	-75.477962	37.842401	359  	358   	-13.1
64                      	968.3             	-1.6 	41                      	3.1  	326         	-75.477945	37.842373	364  	364   	-13.1
65                      	967.6             	-1.6 	41                      	3.2  	327         	-75.477929	37.842345	370  	370   	-13.2
66                      	966.9             	-1.6 	41                      	3.3  	327         	-75.477912	37.842318	375  	375   	-13.2
67                      	966.2             	-1.7 	41                      	3.4  	327         	-75.477895	37.842290	381  	381   	-13.2
68                      	965.6             	-1.7 	41                      	3.5  	327         	-75.477878	37.842262	387  	386   	-13.2
69                      	964.9             	-1.7 	41                      	3.6  	327         	-75.477861	37.842234	392  	392   	-13.2
70                      	964.2             	-1.7 	41                      	3.7  	328         	-75.477844	37.842206	398  	397   	-13.2
71                      	963.6             	-1.8 	41                      	3.8  	328         	-75.477827	37.842178	403  	403   	-13.2
72                      	962.9             	-1.8 	41                      	3.9  	328         	-75.477810	37.842151	409  	408   	-13.3
73                      	962.2             	-1.9 	41                      	4.0  	328         	-75.477793	37.842123	414  	414   	-13.4
74                      	961.5             	-2.0 	41                      	4.1  	328         	-75.477776	37.842095	420  	420   	-13.4
