Time,Time,Press,Alt,Temp,Theta,RH,RH Raw,RH Temp,TFp V,Wind,Wind Dir,v,GPS alt,GPS lat,GPS lon,O3 P,O3 Mr,O3ICell,T Pump,I Pump,O3Bat,TFp Hyg,H2O Mr,Fl,RH FP,Co,Batt,TP2,TOptic
0.0,0.0,1014.9,0.11199999999999999,0.06,272.1,99.6,74.4,3.8,0.0,8.8,283.8,-2.1,0.16,52.2094,14.12033,0.958,0.00949,0.282,26.5,104.0,16.3,-0.34,5910.0,1,97.2,1,10.295,2.63737,36.9
2.0,2.0,1012.01,0.146,-0.15,272.1,98.4,79.31,2.8,-0.31,8.8,283.8,-2.1,0.183,52.20936,14.120579999999999,1.07,0.0106,0.313,26.5,97.2,16.3,-0.92,5680.0,1,94.5,1,10.354000000000001,2.4321200000000003,36.8
4.0,4.0,1010.62,0.157,-0.24,272.1,98.0,79.06,2.8,-0.43,5.8,300.0,-2.9,0.19399999999999998,52.209309999999995,14.120729999999998,1.072,0.0107,0.314,26.5,105.4,16.3,-0.54,5850.0,1,97.9,1,10.263,2.3995599999999997,36.9
6.0,6.0,1009.26,0.168,-0.32,272.1,98.2,78.12,2.9,-0.49,5.1,308.6,-3.2,0.205,52.20925,14.12085,1.071,0.0107,0.313,26.5,103.6,16.3,-0.28,5970.0,1,100.3,1,10.284,2.43491,36.7
8.0,8.0,1007.98,0.17800000000000002,-0.43,272.1,98.5,76.99,3.1,-0.54,2.8,290.6,-1.0,0.215,52.20923,14.12093,1.067,0.0106,0.312,26.6,111.7,16.3,-0.17,6020.0,1,101.9,1,10.288,2.4866599999999996,36.9
10.0,10.0,1006.77,0.188,-0.5,272.1,98.5,75.43,3.3,-0.6,3.1,255.9,0.8,0.225,52.20924,14.12101,1.067,0.0107,0.312,26.6,96.4,16.3,-0.3,5980.0,1,101.5,1,10.32,2.53094,37.0
12.0,12.0,1005.58,0.19699999999999998,-0.56,272.2,99.1,74.37,3.5,-0.58,5.4,262.3,0.7,0.233,52.20926,14.121170000000001,1.054,0.0105,0.309,26.6,104.1,16.3,-0.55,5870.0,1,100.1,1,10.355,2.5463299999999998,36.7
14.0,14.0,1004.37,0.207,-0.67,272.1,99.9,73.81,3.6,-0.58,6.7,276.3,-0.7,0.242,52.20924,14.12137,1.044,0.0105,0.306,26.6,98.3,16.3,-0.87,5740.0,1,98.5,1,10.34,2.54886,36.6
16.0,16.0,1003.12,0.217,-0.74,272.2,99.9,73.28,3.6,-0.64,6.9,298.7,-3.3,0.253,52.209179999999996,14.12155,1.044,0.0105,0.306,26.6,105.5,16.3,-1.04,5680.0,1,97.8,1,9.959,2.50966,36.7
18.0,18.0,1001.83,0.22699999999999998,-0.77,272.2,99.6,72.27,3.8,-0.71,7.2,305.2,-4.2,0.263,52.209109999999995,14.121720000000002,1.048,0.0105,0.307,26.6,107.2,16.3,-0.95,5730.0,1,98.8,1,10.335999999999999,2.46916,36.6
